State,Year,Number,Percentage,LowerLimit,UpperLimit
Washington,2014,485603,8.2,7.6,8.8
West Virginia,2014,207695,12,11.2,12.9
Wisconsin,2014,399523,8,7.2,8.8
Wyoming,2014,37916,7.8,6.9,8.8
Alabama,2015,506987,12,11.2,12.9
Alaska,2015,42248,7.8,6.6,9.2
Arizona,2015,523374,9.1,8.4,9.9
Arkansas,2015,286454,11.2,10.2,12.4
California,2015,3015610,9.6,9,10.3
Colorado,2015,283057,6.4,5.9,6.9
Connecticut,2015,262215,8.1,7.5,8.8
Delaware,2015,84887,9.9,8.9,11
District of Columbia,2015,47108,9.3,8,10.7
Florida,2015,1820768,9.3,8.6,10
Georgia,2015,869486,10.7,9.8,11.6
Hawaii,2015,95484,7.8,7,8.6
Idaho,2015,99277,7.3,6.6,8.1
Illinois,2015,983639,9.1,8.3,9.9
Indiana,2015,578319,10.5,9.5,11.5
Iowa,2015,211057,7.7,7,8.4
Kansas,2015,212576,8.9,8.5,9.2
Kentucky,2015,458381,12.1,11.1,13.1
Louisiana,2015,451323,11.8,10.8,12.9
Maine,2015,106053,8.2,7.5,9
Maryland,2015,481643,9.4,8.6,10.2
Massachusetts,2015,482854,8,7.3,8.7
Michigan,2015,827478,9.5,8.8,10.2
Minnesota,2015,318958,6.9,6.4,7.3
Mississippi,2015,334024,13.6,12.5,14.7
Missouri,2015,537315,10.2,9.4,11.1
Montana,2015,63609,6.7,6,7.6
Nebraska,2015,125521,8,7.5,8.5
Nevada,2015,215082,9,7.7,10.6
New Hampshire,2015,86504,6.8,6.2,7.4
New Jersey,2015,626811,7.9,7.3,8.5
New Mexico,2015,181592,10.5,9.5,11.5
New York,2015,1529719,8.9,8.3,9.5
North Carolina,2015,829725,9.6,8.9,10.3
North Dakota,2015,51399,8.1,7.3,9
Ohio,2015,993030,9.5,8.9,10.2
Oklahoma,2015,345892,10.7,9.9,11.5
Oregon,2015,336939,9.6,8.7,10.5
Pennsylvania,2015,1048651,8.8,8,9.6
Rhode Island,2015,76294,7.9,7.1,8.8
South Carolina,2015,450035,10.5,9.8,11.2
South Dakota,2015,60764,8.4,7.5,9.4
Tennessee,2015,644841,11.4,10.4,12.5
Texas,2015,2323220,11.2,10.3,12
Utah,2015,146932,7.5,7,8.1
Vermont,2015,41707,7.1,6.4,7.9
Virginia,2015,676484,9.6,8.9,10.3
Washington,2015,466005,7.7,7.2,8.2
West Virginia,2015,212274,12.5,11.6,13.4
Wisconsin,2015,374857,7.4,6.6,8.3
Wyoming,2015,37811,7.6,6.8,8.4
Alabama,2016,552753,13.2,12.2,14.2
Alaska,2016,41434,7.7,6.5,9.2
Arizona,2016,571841,9.7,9,10.5
Arkansas,2016,307625,12.1,10.8,13.5
California,2016,3088741,9.7,9,10.4
Colorado,2016,285147,6.2,5.8,6.6
Connecticut,2016,277912,8.5,7.9,9.1
Delaware,2016,79818,9.1,8.1,10.2
District of Columbia,2016,43014,8.4,7.6,9.3
Florida,2016,1944189,9.8,9.2,10.4
Georgia,2016,948549,11.4,10.5,12.4
Hawaii,2016,118560,9.5,8.7,10.4
Idaho,2016,111490,8.1,7.3,9
Illinois,2016,1028608,9.5,8.7,10.5
Indiana,2016,586112,10.4,9.8,11.1
Iowa,2016,224884,8.1,7.5,8.8
Kansas,2016,206760,8.5,8,9
Kentucky,2016,449044,11.8,10.9,12.7
Louisiana,2016,434272,11.1,10.1,12.2
Maine,2016,113558,8.5,7.8,9.2
Maryland,2016,505926,9.8,9.2,10.4
Massachusetts,2016,506608,8.3,7.6,9
Michigan,2016,864882,9.8,9.2,10.4
Minnesota,2016,358093,7.6,7.1,8
Mississippi,2016,308295,12.4,11.4,13.5
Missouri,2016,543877,10.2,9.4,11.2
Montana,2016,66284,6.9,6.2,7.7
Nebraska,2016,127091,8,7.5,8.6
Nevada,2016,251452,10.1,9.1,11.3
New Hampshire,2016,96662,7.7,7,8.5
New Jersey,2016,644988,8.1,7.3,8.9
New Mexico,2016,183978,10.4,9.4,11.4
New York,2016,1633786,9.4,8.9,10
North Carolina,2016,886633,10.1,9.3,10.9
North Dakota,2016,51049,8.2,7.4,9
Ohio,2016,1003228,9.7,9,10.3
Oklahoma,2016,355508,10.9,10.1,11.8
Oregon,2016,306344,8.4,7.6,9.2
Pennsylvania,2016,1144336,9.6,8.8,10.4
Rhode Island,2016,83087,8.6,7.8,9.5
South Carolina,2016,504185,11.5,10.8,12.2
South Dakota,2016,51787,6.9,6.1,7.8
Tennessee,2016,656053,11.2,10.3,12.1
Texas,2016,2333065,10.9,9.9,11.9
Utah,2016,154661,7.7,7.1,8.3
Vermont,2016,42616,7.3,6.5,8.1
Virginia,2016,687972,9.6,8.9,10.2
Washington,2016,530059,8.6,8.1,9.1
West Virginia,2016,218960,12.7,11.9,13.5
Wisconsin,2016,439230,8.6,7.7,9.5
Wyoming,2016,37562,7.6,6.7,8.6
Alabama,2017,535580,12.5,11.7,13.4
Alaska,2017,41628,7.7,6.4,9.1
Arizona,2017,564965,9.4,8.8,9.9
Arkansas,2017,281224,10.8,9.7,12.1
California,2017,3196460,9.8,9.1,10.7
Colorado,2017,324348,7,6.5,7.6
Connecticut,2017,275656,8.4,7.8,9.1
Delaware,2017,85130,9.6,8.6,10.7
District of Columbia,2017,44447,8.6,7.7,9.5
Florida,2017,1773643,8.6,7.9,9.3
Georgia,2017,899648,10.6,9.8,11.5
Hawaii,2017,121823,9.8,9,10.7
Idaho,2017,111476,7.9,7.1,8.9
Illinois,2017,1083169,10.1,9.2,11
Indiana,2017,602393,10.6,10.1,11.2
Iowa,2017,231914,8.3,7.7,9
Kansas,2017,230835,9.5,9.1,10
Kentucky,2017,442480,11.3,10.4,12.3
Louisiana,2017,487443,12.6,11.5,13.8
Maine,2017,115342,8.7,8,9.5
Maryland,2017,488942,9.4,8.8,10.1
Massachusetts,2017,519656,8.4,7.5,9.4
Michigan,2017,858321,9.5,8.9,10.1
Minnesota,2017,331504,6.9,6.5,7.4
Mississippi,2017,322280,12.9,11.8,14
Missouri,2017,493456,9.1,8.4,9.9
Montana,2017,64954,6.7,6,7.6
Nebraska,2017,147136,9.2,8.6,9.9
Nevada,2017,242394,9.4,8.3,10.7
New Hampshire,2017,90897,7.1,6.3,7.9
New Jersey,2017,771819,9.8,9,10.7
New Mexico,2017,169973,9.7,8.8,10.7
New York,2017,1632181,9.4,8.8,10.1
North Carolina,2017,907022,10.3,9.3,11.3
North Dakota,2017,52685,8.5,7.8,9.2
Ohio,2017,1021981,9.9,9.2,10.6
Oklahoma,2017,380204,11.7,10.9,12.6
Oregon,2017,314057,8.3,7.6,9.2
Pennsylvania,2017,1071879,9,8.2,9.8
Rhode Island,2017,75336,7.8,7,8.7
South Carolina,2017,528643,11.8,11.1,12.6
South Dakota,2017,73236,9.9,8.7,11.3
Tennessee,2017,683404,11.7,10.7,12.7
Texas,2017,2512120,11.6,10.6,12.8
Utah,2017,155438,7.5,6.9,8.1
Vermont,2017,41538,6.8,6.2,7.6
Virginia,2017,694037,9.6,8.9,10.3
Washington,2017,527405,8.4,7.8,9
West Virginia,2017,220426,12.8,11.9,13.7
Wisconsin,2017,410932,8.1,7.1,9.2
Wyoming,2017,40515,8.1,7.3,9
Alabama,2018,550149,12.7,11.8,13.6
Alaska,2018,48620,8.7,7.4,10.2
Arizona,2018,590916,9.6,8.6,10.6
Arkansas,2018,321645,12.4,11.3,13.5
California,2018,3209418,9.7,9,10.4
Colorado,2018,311554,6.6,6.1,7.1
Connecticut,2018,275491,8.4,7.8,9
Delaware,2018,91358,10.1,9.2,11.1
District of Columbia,2018,48599,9.2,8.3,10.2
Florida,2018,2164009,10.5,9.6,11.5
Georgia,2018,1013358,11.7,11,12.4
Hawaii,2018,128653,10.3,9.4,11.2
Idaho,2018,132857,9.2,8.2,10.3
Illinois,2018,993082,9,8.2,9.8
Indiana,2018,640435,11.2,10.4,12
Iowa,2018,242403,8.8,8.2,9.4
Kansas,2018,255215,10.4,9.8,11.1
Kentucky,2018,474456,12.1,11.1,13.1
Louisiana,2018,505468,12.9,11.9,14
Maine,2018,115001,8.7,8,9.5
Maryland,2018,568232,10.8,10.2,11.4
Massachusetts,2018,476687,7.7,6.9,8.5
Michigan,2018,912794,10.2,9.5,10.9
Minnesota,2018,386480,7.9,7.5,8.4
Mississippi,2018,326420,12.9,12,13.9
Missouri,2018,546090,10.2,9.3,11.1
Montana,2018,77847,8.1,7.2,9
Nebraska,2018,141491,8.8,8.3,9.5
Nevada,2018,254570,9.6,8.4,11
New Hampshire,2018,113110,8.7,7.9,9.5
New Jersey,2018,760249,9.4,8.1,11
New Mexico,2018,200548,11.2,10.3,12.2
New York,2018,1717067,9.8,9.3,10.3
North Carolina,2018,1014358,11,10,12
North Dakota,2018,54372,8.7,7.9,9.6
Ohio,2018,1111161,10.7,10,11.4
Oklahoma,2018,373824,11.4,10.5,12.4
Oregon,2018,364447,10,9.1,11
Pennsylvania,2018,1147490,9.9,9,10.8
Rhode Island,2018,92821,9.4,8.6,10.4
South Carolina,2018,531143,11.6,10.9,12.3
South Dakota,2018,61656,8.2,7.2,9.2
Tennessee,2018,730416,12.2,11.1,13.3
Texas,2018,2694402,12,10.9,13.3
Utah,2018,186706,8.7,8.1,9.4
Vermont,2018,46377,7.6,6.9,8.4
Virginia,2018,701793,9.5,8.8,10.2
Washington,2018,582006,9,8.4,9.6
West Virginia,2018,232336,13.4,12.5,14.5
Wisconsin,2018,392965,7.4,6.6,8.3
Wyoming,2018,38658,7.9,7.1,8.8
